Topic_ID,Top_Words,C_V,NPMI,U_Mass
0,"feel, like, anxiety, people, depression",0.4598769297045034,0.023645838215632202,-1.6106114213017617
1,"daughter, dad, mother, child, does",0.34710592906456905,-0.03985837499123636,-1.9867031660135852
2,"sex, men, drinking, told, want",0.3646252189384765,-0.13883768019453804,-5.67998247037139
3,"love, married, husband, cheated, time",0.5636332047861216,0.028423422685016304,-2.18846175884428
4,"guy, love, want, relationship, dating",0.4917001621407602,0.01422462689857881,-1.5875167342380991
5,"child, years, abused, having, children",0.3012720600633053,-0.10756829689614354,-6.8174912807546155
6,"comments, negative, frustrated, person, inconsiderate",0.45126794677270965,-0.03909779828672031,-10.509521131667006
7,"girls, know, like, gender, transgender",0.484204549878444,0.030181021616239763,-5.264318819013061
8,"girlfriend, friends, turned, really, friend",0.3961285031399101,-0.033052172889506334,-4.217351097880091
9,"lies, money, lying, friends, disappear",0.691846193752299,0.007686809003992914,-3.3560281776867367
10,"drugs, using, adopted, drug, overdosed",0.2503663918254389,-0.16167390797432596,-10.3567638709366
11,"dependent, losing, does, better, sad",0.37060321174658717,-0.1440100645400792,-6.079577379037917
12,"wanted, wedding, married, kids, proposal",0.3946556600436687,-0.16853096542079052,-9.57929516181413
13,"weight, parents, school, fat, bullied",0.5621306523278509,-0.09209161175735893,-5.56309814173577
